"","receiver_id","receiver_player_name","Pos","posteam","complete_pass","yards_gained","G"
"10401","00-0033699","A.Ekeler","RB","LAC",1,7,10
"10402","00-0031588","S.Diggs","WR","BUF",1,4,16
"10403","00-0031588","S.Diggs","WR","BUF",1,4,16
"10404","00-0031588","S.Diggs","WR","BUF",1,6,16
"10405","00-0031588","S.Diggs","WR","BUF",1,8,16
"10406","00-0031588","S.Diggs","WR","BUF",0,0,16
"10407","00-0033090","H.Henry","TE","LAC",1,13,14
"10408","00-0033090","H.Henry","TE","LAC",1,10,14
"10409","00-0030279","K.Allen","WR","LAC",0,0,14
"10410","00-0033536","M.Williams","WR","LAC",1,4,15
"10411","00-0033699","A.Ekeler","RB","LAC",0,0,10
"10412","00-0033699","A.Ekeler","RB","LAC",1,9,10
"10413","00-0029000","C.Beasley","WR","BUF",1,11,15
"10414","00-0031588","S.Diggs","WR","BUF",1,6,16
"10415","00-0033536","M.Williams","WR","LAC",1,13,15
"10416","00-0030279","K.Allen","WR","LAC",1,15,14
"10417","00-0033699","A.Ekeler","RB","LAC",0,0,10
"10418","00-0033536","M.Williams","WR","LAC",1,9,15
"10419","00-0033699","A.Ekeler","RB","LAC",1,4,10
"10420","00-0036196","G.Davis","WR","BUF",1,44,16
"10421","00-0033090","H.Henry","TE","LAC",1,5,14
"10422","00-0033699","A.Ekeler","RB","LAC",0,0,10
"10423","00-0031588","S.Diggs","WR","BUF",1,2,16
"10424","00-0031588","S.Diggs","WR","BUF",0,0,16
"10425","00-0033699","A.Ekeler","RB","LAC",1,3,10
"10426","00-0033090","H.Henry","TE","LAC",0,0,14
"10427","00-0031588","S.Diggs","WR","BUF",1,9,16
"10428","00-0033699","A.Ekeler","RB","LAC",0,0,10
"10429","00-0033090","H.Henry","TE","LAC",1,8,14
"10430","00-0035414","J.Guyton","WR","LAC",0,0,16
"10431","00-0035414","J.Guyton","WR","LAC",1,11,16
"10432","00-0033699","A.Ekeler","RB","LAC",1,14,10
"10433","00-0033090","H.Henry","TE","LAC",1,15,14
"10434","00-0033699","A.Ekeler","RB","LAC",1,3,10
"10435","00-0033536","M.Williams","WR","LAC",0,0,15
"10436","00-0034830","H.Hurst","TE","ATL",0,0,16
"10437","00-0035700","J.Jacobs","RB","LV",1,2,15
"10438","00-0034983","H.Renfrow","WR","LV",1,2,16
"10439","00-0034837","C.Ridley","WR","ATL",1,16,15
"10440","00-0034837","C.Ridley","WR","ATL",0,0,15
"10441","00-0034646","B.Powell","WR","ATL",1,0,15
"10442","00-0035208","O.Zaccheaus","WR","ATL",0,0,11
"10443","00-0035208","O.Zaccheaus","WR","ATL",0,0,11
"10444","00-0035700","J.Jacobs","RB","LV",1,4,15
"10445","00-0031549","N.Agholor","WR","LV",1,7,16
"10446","00-0031610","D.Waller","TE","LV",1,-1,16
"10447","00-0035208","O.Zaccheaus","WR","ATL",1,11,11
"10448","00-0034830","H.Hurst","TE","ATL",1,12,16
"10449","00-0034830","H.Hurst","TE","ATL",0,0,16
"10450","00-0034983","H.Renfrow","WR","LV",1,16,16
"10451","00-0031610","D.Waller","TE","LV",0,0,16
"10452","00-0031549","N.Agholor","WR","LV",1,7,16
"10453","00-0036357","H.Ruggs","WR","LV",1,36,13
"10454","00-0031610","D.Waller","TE","LV",0,0,16
"10455","00-0034983","H.Renfrow","WR","LV",1,11,16
"10456","00-0034983","H.Renfrow","WR","LV",1,2,16
"10457","00-0033891","Z.Jones","WR","LV",1,3,16
"10458","00-0036357","H.Ruggs","WR","LV",0,0,13
"10459","00-0034837","C.Ridley","WR","ATL",1,6,15
"10460","00-0034830","H.Hurst","TE","ATL",1,12,16
"10461","00-0034411","R.Gage","WR","ATL",1,14,16
"10462","00-0034830","H.Hurst","TE","ATL",0,0,16
"10463","00-0034411","R.Gage","WR","ATL",0,0,16
"10464","00-0034411","R.Gage","WR","ATL",1,8,16
"10465","00-0034837","C.Ridley","WR","ATL",1,4,15
"10466","00-0036357","H.Ruggs","WR","LV",1,1,13
"10467","00-0031549","N.Agholor","WR","LV",1,13,16
"10468","00-0031610","D.Waller","TE","LV",1,11,16
"10469","00-0036365","B.Edwards","WR","LV",0,0,12
"10470","00-0034983","H.Renfrow","WR","LV",0,0,16
"10471","00-0036365","B.Edwards","WR","LV",1,15,12
"10472","00-0034830","H.Hurst","TE","ATL",0,0,16
"10473","00-0034830","H.Hurst","TE","ATL",1,10,16
"10474","00-0033567","B.Hill","RB","ATL",0,0,16
"10475","00-0034837","C.Ridley","WR","ATL",0,0,15
"10476","00-0034830","H.Hurst","TE","ATL",1,14,16
"10477","00-0031549","N.Agholor","WR","LV",0,0,16
"10478","00-0034837","C.Ridley","WR","ATL",1,6,15
"10479","00-0032972","D.Booker","RB","LV",0,0,16
"10480","00-0032972","D.Booker","RB","LV",0,0,16
"10481","00-0036357","H.Ruggs","WR","LV",1,19,13
"10482","00-0034983","H.Renfrow","WR","LV",1,11,16
"10483","00-0031549","N.Agholor","WR","LV",1,12,16
"10484","00-0035700","J.Jacobs","RB","LV",1,11,15
"10485","00-0034983","H.Renfrow","WR","LV",0,0,16
"10486","00-0031549","N.Agholor","WR","LV",1,15,16
"10487","00-0036357","H.Ruggs","WR","LV",0,0,13
"10488","00-0032972","D.Booker","RB","LV",1,-1,16
"10489","00-0034411","R.Gage","WR","ATL",1,12,16
"10490","00-0034837","C.Ridley","WR","ATL",1,11,15
"10491","00-0034837","C.Ridley","WR","ATL",1,7,15
"10492","00-0034411","R.Gage","WR","ATL",0,0,16
"10493","00-0034837","C.Ridley","WR","ATL",0,0,15
